year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1972,10,11.3,17.5,1.4,14.3,8.3,40.8,-1.2,9.5,45,112.6
1972,11,6.3,16,-3.4,9.2,3.5,78.2,-6.4,12.2,53,83.3
1972,12,7.3,14.4,-1.5,10,4.6,82.6,-6.4,13.4,52,50.9
1973,1,6.6,12.9,-4.4,8.6,4.6,52.2,-8.4,12,56,36.2
1973,2,5.4,11.7,-4,7.9,3,32.5,-6.7,12.6,56,88.4
1973,3,6.9,16.9,-0.8,10.5,3.2,11.1,-6.4,9.3,41,136
1973,4,7.3,15.7,-2.5,10.8,3.8,48.1,-6.5,11.6,46,150.3
1973,5,10.6,17.2,1.5,14,7.2,70.9,-1.5,10,48,158.4
1973,6,14.3,23.2,3.9,18.3,10.2,20.2,1.6,7.9,36,226
1973,7,14.8,24.2,6.3,18.4,11.2,72.8,3.9,7.6,36,148.1
1973,8,15.2,22.8,7.1,18.9,11.5,108.9,2.6,7,49,163
1973,9,13.5,22.5,4.9,16.9,10.1,76.2,2.4,7.7,52,157.3
1973,10,10,16.4,0.2,12.7,7.3,59.2,-2.5,8.2,42,85
1973,11,6.9,14.6,-1.9,9.8,4,60.8,-4.7,9.6,44,74
1973,12,5.8,12.2,-2,8.6,3.1,72.7,-6,11.3,43,57.8
1974,1,7,12.8,0,10,4,81.4,-3.7,14.6,75,65.5
1974,2,5.9,11.7,-0.6,8.3,3.4,50.9,-6.5,10.7,52,67
1974,3,6.2,13.8,-1.1,9,3.4,31.7,-5.1,9.6,49,104.4
1974,4,7.9,14.4,0.5,11.5,4.4,43.4,-3.9,6,31,204.6
1974,5,10.2,17.6,2.7,13.5,7,87.6,-1.8,10.1,48,162.9
1974,6,12.7,21.7,4.3,16.6,8.8,39.5,2.9,9,50,207.9
1974,7,14.3,22.3,7,18.2,10.3,99.7,5.2,10.7,48,167.1
1974,8,14.4,21.5,5.7,18.1,10.6,30.2,4.2,8.6,41,165
1974,9,11.1,18,1.7,14.6,7.7,116,0.7,10.5,47,118.6
1974,10,7.9,13.4,0.6,11,4.8,26.6,-0.5,11.1,44,108.7
1974,11,6.4,13.3,-2.4,9.3,3.5,57.7,-3.5,12.3,63,80.3
1974,12,8.3,13.9,0.9,10.8,5.8,37.9,-1.4,17.1,60,52.6
1975,1,6.6,12.8,-1.3,9.6,3.7,82.6,-2.8,15.1,55,57.9
1975,2,6.3,12.1,1.4,8.6,4.1,26.2,-4.9,9.1,38,82.9
1975,3,5.5,12.7,-2.2,8.3,2.6,43.3,-3.4,10.7,40,131.2
1975,4,8.5,19.2,-1.7,12,4.9,42.8,-3.4,9.7,42,154.3
1975,5,9.4,19.5,1.7,13.1,5.7,43.4,-2.7,7.1,35,255.8
1975,6,14,23.5,2.4,18.3,9.6,14.9,0,6.7,48,253.7
1975,7,16.4,23.6,9,20,12.8,27.8,5.9,8.6,39,165.6
1975,8,16.3,26.4,6.2,20.2,12.4,35.9,4.5,6.9,29,182.7
1975,9,12.3,21.4,4.2,15.9,8.7,124.3,-1.6,9.9,46,120.3
1975,10,11.2,17.8,1.8,13.8,8.5,55.1,-1,9.3,42,87.4
1975,11,7.3,13.9,-0.6,10,4.6,54.3,-1.7,9.7,43,59.1
1975,12,5.9,11.4,-2.8,8,3.8,33.1,-4.8,10.5,39,34.6
1976,1,6.4,13.1,-1.2,8.6,4.2,66.1,-4.9,15.3,68,47.8
1976,2,6,13.5,0.4,8.3,3.7,29.3,-4.5,10.1,43,58.4
1976,3,6,12.9,-2,8.7,3.4,65.8,-8.4,11.7,47,89.1
1976,4,8.1,15,0.3,11.3,4.9,17.7,-3.6,9,42,170.1
1976,5,10.7,18.8,1.9,14.2,7.2,47.7,0.9,9.2,43,133.1
1976,6,15.7,25.1,6.2,19.8,11.6,22.5,4.7,7.9,36,218.3
1976,7,16,25.1,6.4,19.7,12.2,82.8,3.6,7.1,35,147.5
1976,8,16.2,24.6,8.1,20.4,12,6.6,3.9,5.4,33,259.9
1976,9,12.6,20.3,4.6,15.9,9.2,144.3,-1.4,8.9,49,98.7
1976,10,9.7,18.3,2.1,12.8,6.7,156.7,-0.9,8.4,53,87.9
1976,11,6.4,12.4,-2.9,9.4,3.5,39.1,-3.3,9.1,54,85.6
1976,12,3.4,9.1,-2.5,5.5,1.4,48,-6.7,8.8,43,36.8
1977,1,3.3,10.8,-6.9,5.9,0.7,57.8,-8.7,11.4,54,53.7
1977,2,5.6,10.7,-1.2,7.9,3.4,124.4,-4.2,11,45,48
1977,3,7.4,16,-1.1,10,4.8,57.3,-6.4,12.8,50,71.4
1977,4,7.2,15.5,-1.8,10.7,3.7,43.4,-4.5,12.7,55,160.8
1977,5,10,18,1.1,13.6,6.4,22.5,-2,7.6,46,252.6
1977,6,12.3,23,4.9,15.9,8.6,65.5,0.8,8,37,188.8
1977,7,15.5,23.8,7.1,19.1,11.9,26.1,3.8,8.6,41,189.8
1977,8,15.1,22.6,7.7,18.6,11.6,68.1,2.7,7.5,46,181.7
1977,9,13,21.7,4.5,16.1,9.9,29.2,0.1,10,43,95.8
1977,10,12,17,5.3,14.7,9.4,76.5,1.5,11.2,47,88.5
1977,11,5.8,16.1,-1.6,8.6,3,53.8,-8.4,13.3,62,71.3
1977,12,7.4,14.5,1.8,9.2,5.6,65.1,-7.4,12,53,36.1
1978,1,4.1,10.6,-2.6,6.6,1.6,59.4,-7.8,11.5,60,73.5
1978,2,3.9,13,-4.8,6.2,1.6,50.3,-9.9,11,54,60.1
1978,3,6.7,15.3,-1.6,10.1,3.3,63,-8.1,12.3,56,128.1
1978,4,6.8,13.3,-2,9.8,3.7,29.6,-4.8,8.6,42,137.5
1978,5,11.4,22.4,2.2,15.2,7.6,27.3,-0.8,5.6,33,190.1
1978,6,12.7,23.2,4.7,16.6,8.9,37.1,2.9,8.3,42,126.6
1978,7,14.3,22.2,7,18.1,10.5,50.5,3.2,8.7,43,134.7
1978,8,14.5,22.3,7.5,17.8,11.2,116.7,3.4,6.5,36,110.2
1978,9,14,22,6.4,17.6,10.4,38.4,4.3,10.8,50,115
1978,10,12.2,19,3.4,15.3,9.2,31.8,-0.9,8,37,105.9
1978,11,9.2,17.3,-2.3,12.1,6.2,64.1,-8.9,10.7,51,68.2
1978,12,6,13.9,-3.1,8.1,3.9,217,-10.3,11.7,52,43.5
1979,1,2.3,11.7,-8.1,5,-0.4,42.3,-11.5,11.2,48,77.9
1979,2,3.4,9.8,-4.4,5.7,1,83.4,-6.6,13.4,44,63
1979,3,4.8,12.8,-2.5,8.1,1.4,63.7,-6.7,14.6,55,100.4
1979,4,7.3,15.6,-1.9,10.6,4,53.1,-4.5,9.4,39,128.5
1979,5,9,21,-1,12.8,5.1,82.2,-3.9,7.7,34,167.6
1979,6,13.6,24,6.2,17.4,9.9,44,-0.7,7.7,37,169.4
1979,7,15.7,24.4,6.4,19.6,11.8,47,4.7,8.5,38,150.7
1979,8,14.2,23.5,6.2,18.1,10.3,96.5,2.5,9,45,170.9
1979,9,12.9,21.2,2.1,16.5,9.3,41.5,-0.4,10.1,48,131.2
1979,10,11.3,19.1,4,14.1,8.5,119,-2,9.1,44,89.7
1979,11,7.7,17.6,-1,10.9,4.6,51.4,-5.3,11.9,51,84.6
1979,12,5.6,13.6,-1.8,8,3.1,112.4,-6.4,12.1,53,62.4
1980,1,4.1,12,-3.5,6.5,1.7,115.2,-9.9,10.9,55,64.8
1980,2,6.4,12.6,-1.2,9.1,3.7,68.5,-4,8.6,43,50.2
1980,3,5.4,14.6,-3.6,8.5,2.2,73.7,-8.1,11.3,50,109.9
1980,4,8.8,17.2,1.2,12.8,4.7,8.2,-3.5,8.5,35,158
1980,5,11,21.3,3,14.7,7.3,41,-2.1,8.6,39,223.9
1980,6,13,21.6,5.6,16.4,9.6,79,3.1,9.2,47,120.2
1980,7,13.9,21.5,6.5,17.4,10.5,39.4,4,9.2,36,126
1980,8,15.1,22,7.3,18.5,11.7,97.8,0.5,8.1,42,142.6
1980,9,14.2,22.2,6.7,17.2,11.1,97.5,2.9,10.6,44,112.5
